"","batter_id","at_bats","variable","pval","significant"
"1","467","120","push_pull             ","0.260445507091959","FALSE"
"2","383","31","push_pull             ","0.40042303669712","FALSE"
"3","991","20","batter_hand:push_pull","0.0817718019747771","FALSE"
"4","586","193","push_pull             ","5.67632164736579e-05","TRUE"
"5","624","70","push_pull:pitcher_hand","0.138389004865049","FALSE"
"6","392","8","pitcher_hand","0.000154256066717191","TRUE"
"7","636","128","push_pull             ","8.95458645224509e-06","TRUE"
"8","652","12","pitcher_hand","0.202506894097701","FALSE"
"9","594","19","push_pull             ","0.537571880584943","FALSE"
"10","647","14","pitcher_hand","0.0761864070693365","FALSE"
"11","807","12","pitcher_hand","0.321121595083077","FALSE"
"12","537","104","push_pull             ","0.0366829483209959","TRUE"
"13","993","158","push_pull            ","0.00540609466168783","TRUE"
"14","492","157","push_pull             ","0.0411034063488259","TRUE"
"15","856","57","push_pull:pitcher_hand","0.207089917122663","FALSE"
"16","513","136","push_pull               ","3.00222993676396e-07","TRUE"
"17","495","124","push_pull             ","0.00664238192309046","TRUE"
"18","782","6","pitcher_hand          ","0.339245689629469","FALSE"
"19","461","11","pitcher_hand","0.237609246433235","FALSE"
"20","336","7","push_pull   ","0.57199201657982","FALSE"
"21","431","53","push_pull             ","0.173490024538419","FALSE"
"22","721","28","push_pull   ","3.97797285839394e-05","TRUE"
"23","535","3","push_pull  ","0.426423930802125","FALSE"
"24","471","131","push_pull               ","4.2321586095067e-07","TRUE"
"25","442","123","push_pull             ","0.00290875257883366","TRUE"
"26","409","17","push_pull:pitcher_hand","0.578964814232504","FALSE"
"27","475","138","pitcher_hand          ","0.0442411141431974","TRUE"
"28","769","12","push_pull   ","0.977245513779984","FALSE"
"29","427","83","push_pull:pitcher_hand","0.00335680624542849","TRUE"
"30","394","11","batter_hand:push_pull","0.255558668697539","FALSE"
"31","667","6","pitcher_hand","0.426633252616183","FALSE"
"32","337","155","batter_hand          ","0.123491946300257","FALSE"
"33","547","148","push_pull             ","0.00486038440658549","TRUE"
"34","460","139","push_pull             ","0.000369879721428721","TRUE"
"35","530","12","push_pull:pitcher_hand","0.277413672974048","FALSE"
"36","879","91","batter_hand           ","0.121859401938828","FALSE"
"37","719","52","push_pull             ","0.00176276354564055","TRUE"
"38","345","158","push_pull             ","9.45308846419194e-05","TRUE"
"39","920","67","push_pull             ","0.113785849365914","FALSE"
"40","408","101","push_pull             ","0.245039190804342","FALSE"
"41","423","122","push_pull             ","0.263461810618531","FALSE"
"42","435","136","pitcher_hand          ","0.184737064918526","FALSE"
"43","634","10","pitcher_hand","0.190113275353296","FALSE"
"44","936","12","pitcher_hand","0.0961429431837292","FALSE"
"45","472","13","batter_hand:push_pull","0.0884172006505841","FALSE"
"46","827","8","push_pull             ","0.473113568357125","FALSE"
"47","334","104","pitcher_hand          ","0.046364535861409","TRUE"
"48","544","120","push_pull               ","5.49043304667806e-11","TRUE"
"49","637","47","push_pull:pitcher_hand","0.330325528212297","FALSE"
"50","975","86","push_pull             ","0.40476090934963","FALSE"
"51","798","132","push_pull             ","0.0232183234600642","TRUE"
"52","702","173","push_pull             ","1.47103921415478e-06","TRUE"
"53","651","110","push_pull             ","0.0265022491390334","TRUE"
"54","404","119","pitcher_hand          ","0.379450453190254","FALSE"
"55","627","14","push_pull             ","0.192908889077677","FALSE"
"56","786","163","push_pull:pitcher_hand","0.192781608210914","FALSE"
"57","707","7","pitcher_hand          ","0.00571170837856073","TRUE"
"58","693","2","Not enough at bats for significant results",NA,NA
"59","572","138","push_pull             ","0.00952319999733092","TRUE"
"60","565","126","push_pull             ","2.6677880372605e-05","TRUE"
"61","901","72","push_pull             ","0.115915631776832","FALSE"
"62","638","139","push_pull             ","0.00284313058812636","TRUE"
"63","776","87","pitcher_hand          ","0.0642963306261683","FALSE"
"64","520","61","push_pull             ","0.0229664422520961","TRUE"
"65","835","113","push_pull             ","0.160482772421647","FALSE"
"66","639","48","push_pull             ","0.097184103258796","FALSE"
"67","877","114","push_pull             ","5.55630749650852e-06","TRUE"
"68","418","6","push_pull             ","0.103486879579971","FALSE"
"69","963","160","push_pull             ","0.00111646450508391","TRUE"
"70","753","188","push_pull            ","0.000544551750271362","TRUE"
"71","598","124","push_pull             ","0.096610755766382","FALSE"
"72","630","140","push_pull             ","0.00280531890103556","TRUE"
"73","892","138","push_pull               ","0.250734472749432","FALSE"
"74","626","160","push_pull            ","0.0259869157887427","TRUE"
"75","973","131","batter_hand           ","0.426319876940204","FALSE"
"76","557","60","push_pull             ","0.56766082150855","FALSE"
"77","787","33","pitcher_hand          ","0.106574132792931","FALSE"
"78","868","48","push_pull             ","0.0874333232004851","FALSE"
"79","838","30","pitcher_hand          ","0.257266337116055","FALSE"
"80","737","46","push_pull             ","0.0616902010727262","FALSE"
"81","348","18","push_pull   ","0.113056439414148","FALSE"
"82","448","14","pitcher_hand","0.482299682219823","FALSE"
"83","615","72","push_pull             ","0.226383727764069","FALSE"
"84","953","39","push_pull             ","0.256002102862506","FALSE"
"85","561","9","pitcher_hand","0.116055431584523","FALSE"
"86","728","2","Not enough at bats for significant results",NA,NA
"87","998","26","push_pull             ","0.0780209071088584","FALSE"
"88","959","70","push_pull             ","0.272919925888111","FALSE"
"89","502","74","batter_hand:pitcher_hand","0.152603040202572","FALSE"
"90","503","7","push_pull   ","0.667073501789722","FALSE"
"91","861","35","push_pull:pitcher_hand","0.0280211803657759","TRUE"
"92","470","18","pitcher_hand          ","0.59218955952077","FALSE"
